time,node,count,total_count,lambda,service_mode,seed
60,d,7,59,2,fixed,20260905
62,o,11,60,2,fixed,20260905
62,a,13,60,2,fixed,20260905
62,b,3,60,2,fixed,20260905
62,c,23,60,2,fixed,20260905
62,d,10,60,2,fixed,20260905
64,o,13,65,2,fixed,20260905
64,a,14,65,2,fixed,20260905
64,b,3,65,2,fixed,20260905
64,c,25,65,2,fixed,20260905
64,d,10,65,2,fixed,20260905
66,o,12,65,2,fixed,20260905
66,a,15,65,2,fixed,20260905
66,b,2,65,2,fixed,20260905
66,c,27,65,2,fixed,20260905
66,d,9,65,2,fixed,20260905
68,o,14,69,2,fixed,20260905
68,a,14,69,2,fixed,20260905
68,b,1,69,2,fixed,20260905
68,c,31,69,2,fixed,20260905
68,d,9,69,2,fixed,20260905
70,o,14,65,2,fixed,20260905
70,a,13,65,2,fixed,20260905
70,b,2,65,2,fixed,20260905
70,c,30,65,2,fixed,20260905
70,d,6,65,2,fixed,20260905
72,o,8,68,2,fixed,20260905
72,a,18,68,2,fixed,20260905
72,b,6,68,2,fixed,20260905
72,c,27,68,2,fixed,20260905
72,d,9,68,2,fixed,20260905
74,o,11,68,2,fixed,20260905
74,a,17,68,2,fixed,20260905
74,b,5,68,2,fixed,20260905
74,c,28,68,2,fixed,20260905
74,d,7,68,2,fixed,20260905
76,o,10,72,2,fixed,20260905
76,a,21,72,2,fixed,20260905
76,b,5,72,2,fixed,20260905
76,c,29,72,2,fixed,20260905
76,d,7,72,2,fixed,20260905
78,o,10,74,2,fixed,20260905
78,a,22,74,2,fixed,20260905
78,b,6,74,2,fixed,20260905
78,c,28,74,2,fixed,20260905
78,d,8,74,2,fixed,20260905
80,o,14,78,2,fixed,20260905
80,a,22,78,2,fixed,20260905
80,b,8,78,2,fixed,20260905
80,c,30,78,2,fixed,20260905
80,d,4,78,2,fixed,20260905
82,o,10,81,2,fixed,20260905
82,a,26,81,2,fixed,20260905
82,b,8,81,2,fixed,20260905
82,c,29,81,2,fixed,20260905
82,d,8,81,2,fixed,20260905
84,o,7,76,2,fixed,20260905
84,a,28,76,2,fixed,20260905
84,b,7,76,2,fixed,20260905
84,c,29,76,2,fixed,20260905
84,d,5,76,2,fixed,20260905
86,o,11,78,2,fixed,20260905
86,a,25,78,2,fixed,20260905
86,b,7,78,2,fixed,20260905
86,c,31,78,2,fixed,20260905
86,d,4,78,2,fixed,20260905
88,o,13,82,2,fixed,20260905
88,a,27,82,2,fixed,20260905
88,b,5,82,2,fixed,20260905
88,c,34,82,2,fixed,20260905
88,d,3,82,2,fixed,20260905
90,o,16,84,2,fixed,20260905
90,a,28,84,2,fixed,20260905
90,b,5,84,2,fixed,20260905
90,c,33,84,2,fixed,20260905
90,d,2,84,2,fixed,20260905
