time,node,mean_count,std_count,standard_error,seed,num_particles,num_monte_carlo_runs
0,o,0,0,0,20260625,100,5000
0,a,100,0,0,20260625,100,5000
0,b,0,0,0,20260625,100,5000
0,c,0,0,0,20260625,100,5000
0,d,0,0,0,20260625,100,5000
0.1,o,0.168,0.409645654087,0.00579326439777,20260625,100,5000
0.1,a,90.4942,2.92391453624,0.0413503959237,20260625,100,5000
0.1,b,6.8444,2.54092107236,0.0359340504146,20260625,100,5000
0.1,c,2.4114,1.540072857,0.0217799192142,20260625,100,5000
0.1,d,0.082,0.285818716091,0.00404208704675,20260625,100,5000
0.2,o,0.6388,0.79401552386,0.0112290752258,20260625,100,5000
0.2,a,81.9038,3.83555574299,0.0542429495097,20260625,100,5000
0.2,b,12.6076,3.35551398966,0.0474541339291,20260625,100,5000
0.2,c,4.5484,2.10345961418,0.0297474111427,20260625,100,5000
0.2,d,0.3014,0.548651295131,0.00775910102588,20260625,100,5000
0.3,o,1.3388,1.14327423447,0.0161683392789,20260625,100,5000
0.3,a,74.0886,4.36909233521,0.0617882963571,20260625,100,5000
0.3,b,17.453,3.82705111856,0.0541226759576,20260625,100,5000
0.3,c,6.475,2.46807481221,0.0349038487238,20260625,100,5000
0.3,d,0.6446,0.784100633057,0.0110888574953,20260625,100,5000
0.4,o,2.1888,1.46805503886,0.0207614334626,20260625,100,5000
0.4,a,67.1338,4.65985411876,0.0659002889342,20260625,100,5000
0.4,b,21.443,4.11720065922,0.0582260101128,20260625,100,5000
0.4,c,8.155,2.72684105375,0.0385633560065,20260625,100,5000
0.4,d,1.0794,1.02122682145,0.0144423282115,20260625,100,5000
0.5,o,3.1652,1.77204316748,0.0250604748055,20260625,100,5000
0.5,a,60.8838,4.82171622449,0.0681893647858,20260625,100,5000
0.5,b,24.6928,4.30029378826,0.0608153379754,20260625,100,5000
0.5,c,9.6756,2.94484279034,0.0416463661315,20260625,100,5000
0.5,d,1.5826,1.2331591042,0.0174395032973,20260625,100,5000
0.6,o,4.2434,2.05411789342,0.0290496138359,20260625,100,5000
0.6,a,55.291,4.96024594229,0.0701484708429,20260625,100,5000
0.6,b,27.3134,4.44885815775,0.0629163554376,20260625,100,5000
0.6,c,11.0072,3.10152737444,0.0438622207701,20260625,100,5000
0.6,d,2.145,1.43219594925,0.020254309354,20260625,100,5000
0.7,o,5.346,2.2735254086,0.0321525046724,20260625,100,5000
0.7,a,50.2752,4.9496226839,0.069998235282,20260625,100,5000
0.7,b,29.43,4.52565976618,0.0640024942002,20260625,100,5000
0.7,c,12.1978,3.24764292941,0.0459286067651,20260625,100,5000
0.7,d,2.751,1.64302736063,0.0232359157675,20260625,100,5000
0.8,o,6.5176,2.48155633915,0.0350945063062,20260625,100,5000
0.8,a,45.8382,4.96666430422,0.0702392401879,20260625,100,5000
0.8,b,31.0268,4.58897521226,0.0648979098257,20260625,100,5000
0.8,c,13.1966,3.29619802565,0.0466152795214,20260625,100,5000
0.8,d,3.4208,1.83215684911,0.0259106106441,20260625,100,5000
0.9,o,7.6598,2.67804001831,0.0378732051447,20260625,100,5000
0.9,a,41.8872,4.94430636117,0.0699230511249,20260625,100,5000
0.9,b,32.2598,4.6677469439,0.0660119103379,20260625,100,5000
0.9,c,14.1004,3.41013865541,0.0482266433606,20260625,100,5000
