time,node,count,total_count,lambda,service_mode,seed
1.35,d,10,115,100,proportional,20260904
1.4,o,41,119,100,proportional,20260904
1.4,a,26,119,100,proportional,20260904
1.4,b,25,119,100,proportional,20260904
1.4,c,17,119,100,proportional,20260904
1.4,d,10,119,100,proportional,20260904
1.45,o,41,122,100,proportional,20260904
1.45,a,27,122,100,proportional,20260904
1.45,b,23,122,100,proportional,20260904
1.45,c,21,122,100,proportional,20260904
1.45,d,10,122,100,proportional,20260904
1.5,o,45,132,100,proportional,20260904
1.5,a,27,132,100,proportional,20260904
1.5,b,27,132,100,proportional,20260904
1.5,c,22,132,100,proportional,20260904
1.5,d,11,132,100,proportional,20260904
1.55,o,45,135,100,proportional,20260904
1.55,a,27,135,100,proportional,20260904
1.55,b,30,135,100,proportional,20260904
1.55,c,20,135,100,proportional,20260904
1.55,d,13,135,100,proportional,20260904
1.6,o,45,138,100,proportional,20260904
1.6,a,28,138,100,proportional,20260904
1.6,b,32,138,100,proportional,20260904
1.6,c,21,138,100,proportional,20260904
1.6,d,12,138,100,proportional,20260904
1.65,o,38,143,100,proportional,20260904
1.65,a,31,143,100,proportional,20260904
1.65,b,39,143,100,proportional,20260904
1.65,c,22,143,100,proportional,20260904
1.65,d,13,143,100,proportional,20260904
1.7,o,36,143,100,proportional,20260904
1.7,a,31,143,100,proportional,20260904
1.7,b,40,143,100,proportional,20260904
1.7,c,23,143,100,proportional,20260904
1.7,d,13,143,100,proportional,20260904
1.75,o,38,147,100,proportional,20260904
1.75,a,30,147,100,proportional,20260904
1.75,b,38,147,100,proportional,20260904
1.75,c,25,147,100,proportional,20260904
1.75,d,16,147,100,proportional,20260904
1.8,o,41,153,100,proportional,20260904
1.8,a,29,153,100,proportional,20260904
1.8,b,38,153,100,proportional,20260904
1.8,c,26,153,100,proportional,20260904
1.8,d,19,153,100,proportional,20260904
1.85,o,44,155,100,proportional,20260904
1.85,a,25,155,100,proportional,20260904
1.85,b,42,155,100,proportional,20260904
1.85,c,25,155,100,proportional,20260904
1.85,d,19,155,100,proportional,20260904
1.9,o,46,157,100,proportional,20260904
1.9,a,23,157,100,proportional,20260904
1.9,b,41,157,100,proportional,20260904
1.9,c,27,157,100,proportional,20260904
1.9,d,20,157,100,proportional,20260904
1.95,o,42,156,100,proportional,20260904
1.95,a,27,156,100,proportional,20260904
1.95,b,40,156,100,proportional,20260904
1.95,c,28,156,100,proportional,20260904
1.95,d,19,156,100,proportional,20260904
2,o,46,163,100,proportional,20260904
2,a,28,163,100,proportional,20260904
2,b,38,163,100,proportional,20260904
2,c,30,163,100,proportional,20260904
2,d,21,163,100,proportional,20260904
2.05,o,44,167,100,proportional,20260904
2.05,a,31,167,100,proportional,20260904
2.05,b,39,167,100,proportional,20260904
2.05,c,31,167,100,proportional,20260904
2.05,d,22,167,100,proportional,20260904
2.1,o,40,167,100,proportional,20260904
2.1,a,34,167,100,proportional,20260904
2.1,b,40,167,100,proportional,20260904
2.1,c,31,167,100,proportional,20260904
2.1,d,22,167,100,proportional,20260904
2.15,o,40,171,100,proportional,20260904
2.15,a,35,171,100,proportional,20260904
2.15,b,40,171,100,proportional,20260904
2.15,c,32,171,100,proportional,20260904
2.15,d,24,171,100,proportional,20260904
2.2,o,39,172,100,proportional,20260904
2.2,a,35,172,100,proportional,20260904
2.2,b,38,172,100,proportional,20260904
2.2,c,34,172,100,proportional,20260904
2.2,d,26,172,100,proportional,20260904
2.25,o,40,174,100,proportional,20260904
2.25,a,36,174,100,proportional,20260904
2.25,b,39,174,100,proportional,20260904
2.25,c,35,174,100,proportional,20260904
2.25,d,24,174,100,proportional,20260904
2.3,o,44,182,100,proportional,20260904
2.3,a,38,182,100,proportional,20260904
2.3,b,37,182,100,proportional,20260904
2.3,c,39,182,100,proportional,20260904
2.3,d,24,182,100,proportional,20260904
2.35,o,45,182,100,proportional,20260904
2.35,a,38,182,100,proportional,20260904
2.35,b,38,182,100,proportional,20260904
2.35,c,39,182,100,proportional,20260904
2.35,d,22,182,100,proportional,20260904
2.4,o,47,187,100,proportional,20260904
2.4,a,41,187,100,proportional,20260904
2.4,b,38,187,100,proportional,20260904
2.4,c,39,187,100,proportional,20260904
2.4,d,22,187,100,proportional,20260904
2.45,o,51,194,100,proportional,20260904
2.45,a,42,194,100,proportional,20260904
2.45,b,38,194,100,proportional,20260904
2.45,c,41,194,100,proportional,20260904
2.45,d,22,194,100,proportional,20260904
2.5,o,49,195,100,proportional,20260904
2.5,a,40,195,100,proportional,20260904
2.5,b,44,195,100,proportional,20260904
2.5,c,41,195,100,proportional,20260904
2.5,d,21,195,100,proportional,20260904
2.55,o,53,202,100,proportional,20260904
2.55,a,40,202,100,proportional,20260904
2.55,b,48,202,100,proportional,20260904
2.55,c,38,202,100,proportional,20260904
2.55,d,23,202,100,proportional,20260904
2.6,o,54,206,100,proportional,20260904
2.6,a,41,206,100,proportional,20260904
2.6,b,47,206,100,proportional,20260904
2.6,c,43,206,100,proportional,20260904
2.6,d,21,206,100,proportional,20260904
2.65,o,55,211,100,proportional,20260904
2.65,a,43,211,100,proportional,20260904
2.65,b,49,211,100,proportional,20260904
2.65,c,39,211,100,proportional,20260904
2.65,d,25,211,100,proportional,20260904
2.7,o,57,218,100,proportional,20260904
2.7,a,47,218,100,proportional,20260904
2.7,b,43,218,100,proportional,20260904
2.7,c,45,218,100,proportional,20260904
2.7,d,26,218,100,proportional,20260904
2.75,o,54,218,100,proportional,20260904
2.75,a,50,218,100,proportional,20260904
2.75,b,38,218,100,proportional,20260904
2.75,c,49,218,100,proportional,20260904
2.75,d,27,218,100,proportional,20260904
2.8,o,55,220,100,proportional,20260904
2.8,a,52,220,100,proportional,20260904
2.8,b,38,220,100,proportional,20260904
2.8,c,47,220,100,proportional,20260904
2.8,d,28,220,100,proportional,20260904
2.85,o,53,219,100,proportional,20260904
2.85,a,50,219,100,proportional,20260904
2.85,b,36,219,100,proportional,20260904
2.85,c,48,219,100,proportional,20260904
2.85,d,32,219,100,proportional,20260904
2.9,o,50,221,100,proportional,20260904
2.9,a,47,221,100,proportional,20260904
2.9,b,39,221,100,proportional,20260904
2.9,c,49,221,100,proportional,20260904
2.9,d,36,221,100,proportional,20260904
2.95,o,44,220,100,proportional,20260904
2.95,a,49,220,100,proportional,20260904
2.95,b,42,220,100,proportional,20260904
2.95,c,50,220,100,proportional,20260904
2.95,d,35,220,100,proportional,20260904
3,o,41,219,100,proportional,20260904
3,a,49,219,100,proportional,20260904
3,b,42,219,100,proportional,20260904
3,c,51,219,100,proportional,20260904
3,d,36,219,100,proportional,20260904
3.05,o,43,221,100,proportional,20260904
3.05,a,48,221,100,proportional,20260904
3.05,b,44,221,100,proportional,20260904
3.05,c,50,221,100,proportional,20260904
3.05,d,36,221,100,proportional,20260904
3.1,o,44,223,100,proportional,20260904
3.1,a,47,223,100,proportional,20260904
3.1,b,41,223,100,proportional,20260904
3.1,c,53,223,100,proportional,20260904
3.1,d,38,223,100,proportional,20260904
3.15,o,49,223,100,proportional,20260904
3.15,a,48,223,100,proportional,20260904
3.15,b,39,223,100,proportional,20260904
3.15,c,50,223,100,proportional,20260904
3.15,d,37,223,100,proportional,20260904
3.2,o,46,223,100,proportional,20260904
3.2,a,49,223,100,proportional,20260904
3.2,b,40,223,100,proportional,20260904
3.2,c,49,223,100,proportional,20260904
3.2,d,39,223,100,proportional,20260904
3.25,o,45,225,100,proportional,20260904
3.25,a,50,225,100,proportional,20260904
3.25,b,42,225,100,proportional,20260904
3.25,c,48,225,100,proportional,20260904
3.25,d,40,225,100,proportional,20260904
3.3,o,44,228,100,proportional,20260904
3.3,a,48,228,100,proportional,20260904
3.3,b,42,228,100,proportional,20260904
3.3,c,48,228,100,proportional,20260904
3.3,d,46,228,100,proportional,20260904
3.35,o,48,234,100,proportional,20260904
3.35,a,46,234,100,proportional,20260904
3.35,b,43,234,100,proportional,20260904
3.35,c,46,234,100,proportional,20260904
3.35,d,51,234,100,proportional,20260904
3.4,o,48,232,100,proportional,20260904
3.4,a,46,232,100,proportional,20260904
3.4,b,44,232,100,proportional,20260904
3.4,c,42,232,100,proportional,20260904
3.4,d,52,232,100,proportional,20260904
3.45,o,52,235,100,proportional,20260904
3.45,a,46,235,100,proportional,20260904
3.45,b,45,235,100,proportional,20260904
3.45,c,44,235,100,proportional,20260904
3.45,d,48,235,100,proportional,20260904
3.5,o,55,236,100,proportional,20260904
3.5,a,47,236,100,proportional,20260904
3.5,b,45,236,100,proportional,20260904
3.5,c,44,236,100,proportional,20260904
3.5,d,45,236,100,proportional,20260904
3.55,o,60,239,100,proportional,20260904
3.55,a,48,239,100,proportional,20260904
3.55,b,45,239,100,proportional,20260904
3.55,c,43,239,100,proportional,20260904
3.55,d,43,239,100,proportional,20260904
3.6,o,60,242,100,proportional,20260904
3.6,a,49,242,100,proportional,20260904
3.6,b,45,242,100,proportional,20260904
3.6,c,45,242,100,proportional,20260904
3.6,d,43,242,100,proportional,20260904
3.65,o,57,241,100,proportional,20260904
3.65,a,48,241,100,proportional,20260904
3.65,b,52,241,100,proportional,20260904
3.65,c,44,241,100,proportional,20260904
3.65,d,40,241,100,proportional,20260904
3.7,o,60,245,100,proportional,20260904
3.7,a,51,245,100,proportional,20260904
3.7,b,51,245,100,proportional,20260904
3.7,c,45,245,100,proportional,20260904
3.7,d,38,245,100,proportional,20260904
3.75,o,65,246,100,proportional,20260904
3.75,a,48,246,100,proportional,20260904
3.75,b,51,246,100,proportional,20260904
3.75,c,47,246,100,proportional,20260904
3.75,d,35,246,100,proportional,20260904
3.8,o,63,246,100,proportional,20260904
3.8,a,49,246,100,proportional,20260904
3.8,b,53,246,100,proportional,20260904
3.8,c,48,246,100,proportional,20260904
3.8,d,33,246,100,proportional,20260904
3.85,o,58,249,100,proportional,20260904
3.85,a,55,249,100,proportional,20260904
3.85,b,56,249,100,proportional,20260904
3.85,c,48,249,100,proportional,20260904
3.85,d,32,249,100,proportional,20260904
3.9,o,58,251,100,proportional,20260904
