week,S_mean,I_mean,R_mean,V_mean
0,933,1,0,0
1,882,4.4,0.6,47
2,831.6,15.7,2.7,84
3,737.3,35.9,11.8,149
4,619.8,60.8,29.4,224
5,496.3,82.8,55.9,299
6,378.8,91.8,89.4,374
7,301,72.4,121.6,439
8,239,51.2,139.8,504
9,201,31.8,150.2,551
10,191.7,19.3,163,560
11,187.8,12.7,173.5,560
12,185.8,8.2,180,560
13,184.5,4.8,184.7,560
14,183.8,3.4,186.8,560
15,183.5,1.8,188.7,560
