week,newly_infected_mean,newly_infected_std
0,10,0
1,11.29,2.81174323152
2,10.58,3.62816758158
3,7.88,3.1057366276
4,5.87,2.59867273815
5,4.21,2.28602274704
6,3.02,2.26706859182
7,2.2,1.87082869339
8,1.68,1.56767343538
9,1.29,1.4648890743
10,0.82,1.09890854943
11,0.53,0.953467356547
12,0.34,0.75126559884
13,0.24,0.549909083395
14,0.15,0.455521678957
15,0.13,0.439431450854
