iteration,k,beta,rho,rmse
7,7,0.225,0.6,7.22171355474
7,7,0.225,0.625,7.24851111149
7,7,0.225,0.65,7.19201918796
7,8,0.175,0.6,6.37475803462
7,8,0.175,0.625,6.6509513104
7,8,0.175,0.65,6.8017929009
7,8,0.2,0.6,5.6649754339
7,8,0.2,0.625,5.56952720914
7,8,0.2,0.65,5.65412356898
7,8,0.225,0.6,8.76274043893
7,8,0.225,0.625,8.22589164367
7,8,0.225,0.65,8.06997852124
7,9,0.175,0.6,6.18746366993
7,9,0.175,0.625,6.17414933412
7,9,0.175,0.65,6.28687362685
7,9,0.2,0.6,9.48767446041
7,9,0.2,0.625,9.11485929677
7,9,0.2,0.65,8.97678301695
7,9,0.225,0.6,14.4744282558
7,9,0.225,0.625,13.9461746248
7,9,0.225,0.65,13.690737258
