week,model_newly_infected_mean,real_newly_infected
0,1,1
1,1.47,1
2,4.97,3
3,12.85,5
4,23.72,9
5,29.93,17
6,27.22,32
7,19.42,32
8,12.23,17
9,6.98,5
10,4.76,2
11,3.35,1
12,2.05,0
13,1.6,0
14,0.94,0
15,0.56,0
