profile,u1,u2,u3,is_nash
---,0,0,0,0
--+,1,1,2,1
-+-,1,2,1,1
-++,2,1,1,1
+--,2,1,1,1
+-+,1,2,1,1
++-,1,1,2,1
+++,0,0,0,0
