beta,PR(n6),PR(n9),PR(n6)-PR(n9),iterations,final_l1_diff
0.0,0.06666666666666667,0.06666666666666667,0.0,1,0.0
0.25,0.08750663848696946,0.12697772719879977,-0.039471088711830304,20,3.6394498525993413e-13
0.5,0.10140398550725696,0.16669254658372545,-0.0652885610764685,38,9.268905087900237e-13
0.75,0.11060448721506767,0.19111593777814362,-0.08051145056307595,88,7.351272368616435e-13
1.0,0.1458333333333177,0.12500000000020722,0.020833333333110465,1083,9.8506272583343e-13
